"study","varname","recname","concept","lid_item_id","is_key","lid_ref_varname","lid_ref_recname","lid_ref_year","description","description_long","boost"
"soep-long","PNROLD","PBRUTTO","pnrold",2228,"","BCPNROLD","BCPBRUTTO",2012,"","",0.5
"soep-long","PZUGV","PBRUTTO","pzugv",2229,"","BCPZUGV","BCPBRUTTO",2012,"","",0.5
"soep-long","PFORMV","PBRUTTO","pformv",2230,"","BCPFORMV","BCPBRUTTO",2012,"","",0.5
"soep-long","PERGZV","PBRUTTO","pergzv",2231,"","BCPERGZV","BCPBRUTTO",2012,"","",0.5
"soep-long","PADER","PBRUTTO","pader",2232,"","BCPADER","BCPBRUTTO",2012,"","",0.5
"soep-long","PADERQ","PBRUTTO","paderq",2233,"","BCPADERQ","BCPBRUTTO",2012,"","",0.5
"soep-long","AUSZUGM","PBRUTTO","auszugm",2234,"","BCAUSZUGM","BCPBRUTTO",2012,"","",0.5
"soep-long","AUSZUGJ","PBRUTTO","auszugj",2235,"","BCAUSZUGJ","BCPBRUTTO",2012,"","",0.5
"soep-long","EINZUGM","PBRUTTO","einzugm",2236,"","BCEINZUGM","BCPBRUTTO",2012,"","",0.5
"soep-long","EINZUGJ","PBRUTTO","einzugj",2237,"","BCEINZUGJ","BCPBRUTTO",2012,"","",0.5
"soep-long","ABWESM","PBRUTTO","abwesm",2238,"","BCABWESM","BCPBRUTTO",2012,"","",0.5
"soep-long","ABWESJ","PBRUTTO","abwesj",2239,"","BCABWESJ","BCPBRUTTO",2012,"","",0.5
"soep-long","PBIO","PBRUTTO","pbio",2240,"","BCPBIO","BCPBRUTTO",2012,"","",0.5
"soep-long","BER","PBRUTTO","ber",4159,"","WBER","WPBRUTTO",2006,"","",0.5
"soep-long","PERGE","PBRUTTO","perge",2241,"","PPERGE","PPBRUTTO",1999,"","",0.5
"soep-long","PNAT0","PBRUTTO","pnat0",2247,"","LPNATION","LPBRUTTO",1995,"","",0.5
"soep-long","UMZUG","PBRUTTO","umzug",2250,"","IUMZUG","IPBRUTTO",1992,"","",0.5
"soep-long","PZUGM","PBRUTTO","pzugm",2252,"","HPZUGM","HPBRUTTO",1991,"","",0.5
"soep-long","PZUGJ","PBRUTTO","pzugj",2253,"","HPZUGJ","HPBRUTTO",1991,"","",0.5
"soep-long","PADQ","PBRUTTO","padq",2254,"","HPADQ","HPBRUTTO",1991,"","",0.5
"soep-long","PART","PBRUTTO","part",2256,"","HPART","HPBRUTTO",1991,"","",0.5
"soep-long","PZWEITV","PBRUTTO","pzweitv",2259,"","HPZWEITV","HPBRUTTO",1991,"","",0.5
"soep-long","WSTATUS","PBRUTTO","wstatus",2262,"","HWSTATUS","HPBRUTTO",1991,"","",0.5
"soep-long","ZUHAU","PBRUTTO","zuhau",2257,"","HPZUHAU","HPBRUTTO",1991,"","",0.5
"soep-long","ABHAU","PBRUTTO","abhau",2258,"","HPABHAU","HPBRUTTO",1991,"","",0.5
"soep-long","SAMPLE1","PBRUTTO","sample1",1696,"","SAMPLE1","BCPBRUTTO",2012,"","",0.5
"soep-long","EWSTATU","PBRUTTO","ewstatu",5544,"","BCEWSTATU","BCPBRUTTO",2012,"","",0.5
"soep-long","INTDABEI","PBRUTTO","intdabei",5545,"","INTDABEI","XPBRUTTO",2007,"","",0.5
"soep-long","DJ","PBRUTTO","dj",5546,"","BCDJ","BCPBRUTTO",2012,"","",0.5
"soep-long","STELL1","PBRUTTO","stell1",,"","","",,"","",0.5
"soep-long","CID","PBR_EXIT","_cid",1,"","HHNR","PPFAD",0,"","",0.5
"soep-long","PID","PBR_EXIT","_pid",2,"true","PERSNR","PPFAD",0,"","",0.5
"soep-long","SYEAR","PBR_EXIT","_syear",,"true","__YEAR_DUMMY__","__YEAR_DUMMY__",0,"","",0.5
"soep-long","SAMPLE1","PBR_EXIT","sample1",1696,"","SAMPLE1","PBR_EXIT",0,"","",0.5
"soep-long","YPNRAKT","PBR_EXIT","ypnrakt",3280,"","YPNRAKT","PBR_EXIT",0,"","",0.5
"soep-long","YGEBURT","PBR_EXIT","ygeburt",3281,"","YGEBURT","PBR_EXIT",0,"","",0.5
"soep-long","YSEX","PBR_EXIT","ysex",3282,"","YSEX","PBR_EXIT",0,"","",0.5
"soep-long","YSTELL","PBR_EXIT","ystell",3283,"","YSTELL","PBR_EXIT",0,"","",0.5
"soep-long","YPNAT","PBR_EXIT","ypnat",3284,"","YPNAT","PBR_EXIT",0,"","",0.5
"soep-long","YSTISTAT","PBR_EXIT","ystistat",3285,"","YSTISTAT","PBR_EXIT",0,"","",0.5
"soep-long","YBEFSTAT","PBR_EXIT","ybefstat",3286,"","YBEFSTAT","PBR_EXIT",0,"","",0.5
"soep-long","YPZUG","PBR_EXIT","ypzug",3287,"","YPZUG","PBR_EXIT",0,"","",0.5
"soep-long","YPZUGM","PBR_EXIT","ypzugm",3288,"","YPZUGM","PBR_EXIT",0,"","",0.5
"soep-long","YPZUGJ","PBR_EXIT","ypzugj",3289,"","YPZUGJ","PBR_EXIT",0,"","",0.5
"soep-long","YPFORM","PBR_EXIT","ypform",3290,"","YPFORM","PBR_EXIT",0,"","",0.5
"soep-long","YPERG","PBR_EXIT","yperg",3291,"","YPERG","PBR_EXIT",0,"","",0.5
"soep-long","YPERGZ","PBR_EXIT","ypergz",3292,"","YPERGZ","PBR_EXIT",0,"","",0.5
"soep-long","YPFORMV","PBR_EXIT","ypformv",3293,"","YPFORMV","PBR_EXIT",0,"","",0.5
"soep-long","YPERGV","PBR_EXIT","ypergv",3294,"","YPERGV","PBR_EXIT",0,"","",0.5
"soep-long","YPNRALT","PBR_EXIT","ypnralt",3295,"","YPNRALT","PBR_EXIT",0,"","",0.5
"soep-long","YWSTATUS","PBR_EXIT","ywstatus",3296,"","YWSTATUS","PBR_EXIT",0,"","",0.5
"soep-long","YPADER","PBR_EXIT","ypader",3297,"","YPADER","PBR_EXIT",0,"","",0.5
"soep-long","YPADQ","PBR_EXIT","ypadq",3298,"","YPADQ","PBR_EXIT",0,"","",0.5
"soep-long","YPADERQ","PBR_EXIT","ypaderq",3299,"","YPADERQ","PBR_EXIT",0,"","",0.5
"soep-long","YPNRNEU","PBR_EXIT","ypnrneu",3300,"","YPNRNEU","PBR_EXIT",0,"","",0.5
"soep-long","YPART","PBR_EXIT","ypart",3301,"","YPART","PBR_EXIT",0,"","",0.5
"soep-long","YZUPAN","PBR_EXIT","yzupan",3302,"","YZUPAN","PBR_EXIT",0,"","",0.5
"soep-long","YZUHAU","PBR_EXIT","yzuhau",3303,"","YZUHAU","PBR_EXIT",0,"","",0.5
"soep-long","YABHAU","PBR_EXIT","yabhau",3304,"","YABHAU","PBR_EXIT",0,"","",0.5
"soep-long","YLINT","PBR_EXIT","ylint",3305,"","YLINT","PBR_EXIT",0,"","",0.5
"soep-long","YPZWEITV","PBR_EXIT","ypzweitv",3306,"","YPZWEITV","PBR_EXIT",0,"","",0.5
"soep-long","YPZUGV","PBR_EXIT","ypzugv",3307,"","YPZUGV","PBR_EXIT",0,"","",0.5
"soep-long","YPUP","PBR_EXIT","ypup",3308,"","YPUP","PBR_EXIT",0,"","",0.5
"soep-long","HIDOLD","PBR_EXIT","hidold",,"","","",,"","",0.5
"soep-long","YLUECKE","PBR_EXIT","yluecke",3309,"","YLUECKE","PBR_EXIT",0,"","",0.5
"soep-long","YPERGZV","PBR_EXIT","ypergzv",3310,"","YPERGZV","PBR_EXIT",0,"","",0.5
"soep-long","YAUSZUGM","PBR_EXIT","yauszugm",3311,"","YAUSZUGM","PBR_EXIT",0,"","",0.5
"soep-long","YAUSZUGJ","PBR_EXIT","yauszugj",3312,"","YAUSZUGJ","PBR_EXIT",0,"","",0.5
"soep-long","YEINZUGM","PBR_EXIT","yeinzugm",3313,"","YEINZUGM","PBR_EXIT",0,"","",0.5
"soep-long","YEINZUGJ","PBR_EXIT","yeinzugj",3314,"","YEINZUGJ","PBR_EXIT",0,"","",0.5
"soep-long","YABWESM","PBR_EXIT","yabwesm",3315,"","YABWESM","PBR_EXIT",0,"","",0.5
"soep-long","YABWESJ","PBR_EXIT","yabwesj",3316,"","YABWESJ","PBR_EXIT",0,"","",0.5
"soep-long","YPBIO","PBR_EXIT","ypbio",3317,"","YPBIO","PBR_EXIT",0,"","",0.5
"soep-long","CID","HBRUTTO","_cid",1,"","HHNR","HPFAD",0,"","",0.5
"soep-long","HID","HBRUTTO","_hid",,"true","","",,"","",0.5
"soep-long","SYEAR","HBRUTTO","_syear",,"true","__YEAR_DUMMY__","__YEAR_DUMMY__",0,"","",0.5
"soep-long","SAMPLE1","HBRUTTO","sample1",1696,"","SAMPLE1","BCHBRUTTO",2012,"","",0.5
"soep-long","SAMPREG","HBRUTTO","sampreg",6,"","BCSAMPREG","BCHBRUTTO",2012,"","",0.5
"soep-long","HTYP","HBRUTTO","htyp",3101,"","BCHTYP","BCHBRUTTO",2012,"","",0.5
"soep-long","HAND","HBRUTTO","hand",3103,"","BCHAND","BCHBRUTTO",2012,"","",0.5
"soep-long","HPMAX","HBRUTTO","hpmax",3105,"","BCHPMAX","BCHBRUTTO",2012,"","",0.5
"soep-long","DATUMTG","HBRUTTO","datumtg",3107,"","BCDATUMTG","BCHBRUTTO",2012,"","",0.5
"soep-long","DATUMMO","HBRUTTO","datummo",3109,"","BCDATUMMO","BCHBRUTTO",2012,"","",0.5
"soep-long","BULA","HBRUTTO","bula",3111,"","BCBULA","BCHBRUTTO",2012,"","",0.5
"soep-long","HADER","HBRUTTO","hader",3112,"","BCHADER","BCHBRUTTO",2012,"","",0.5
"soep-long","HADQ","HBRUTTO","hadq",3113,"","BCHADQ","BCHBRUTTO",2012,"","",0.5
"soep-long","INTZA","HBRUTTO","intza",3114,"","BCINTZA","BCHBRUTTO",2012,"","",0.5
"soep-long","INTK","HBRUTTO","intk",3118,"","BCINTK","BCHBRUTTO",2012,"","",0.5
"soep-long","TELK1","HBRUTTO","telk1",3119,"","BCTELK1","BCHBRUTTO",2012,"","",0.5
"soep-long","TELK2","HBRUTTO","telk2",3121,"","BCTELK2","BCHBRUTTO",2012,"","",0.5
"soep-long","SCHK","HBRUTTO","schk",3123,"","BCSCHK","BCHBRUTTO",2012,"","",0.5
"soep-long","HFORM1","HBRUTTO","hform1",3125,"","BCHFORM1","BCHBRUTTO",2012,"","",0.5
"soep-long","HERG1","HBRUTTO","herg1",3126,"","BCHERG1","BCHBRUTTO",2012,"","",0.5
"soep-long","HFORMS","HBRUTTO","hforms",3128,"","BCHFORMS","BCHBRUTTO",2012,"","",0.5
"soep-long","HERGS","HBRUTTO","hergs",3130,"","BCHERGS","BCHBRUTTO",2012,"","",0.5
"soep-long","HSTU","HBRUTTO","hstu",3131,"","BCHSTU","BCHBRUTTO",2012,"","",0.5
"soep-long","SPLIT","HBRUTTO","split",3132,"","BCSPLIT","BCHBRUTTO",2012,"","",0.5
"soep-long","HHGR","HBRUTTO","hhgr",2110,"","BCHHGR","BCHBRUTTO",2012,"","",0.5
"soep-long","WUM1","HBRUTTO","wum1",2799,"","BCWUM1","BCHBRUTTO",2012,"","",0.5
"soep-long","WUM2","HBRUTTO","wum2",2800,"","BCWUM2","BCHBRUTTO",2012,"","",0.5
"soep-long","WUM3","HBRUTTO","wum3",2801,"","BCWUM3","BCHBRUTTO",2012,"","",0.5
"soep-long","WEIN","HBRUTTO","wein",3136,"","BCWEIN","BCHBRUTTO",2012,"","",0.5
"soep-long","HTEL","HBRUTTO","htel",3138,"","BCHTEL","BCHBRUTTO",2012,"","",0.5
"soep-long","INTEINS","HBRUTTO","inteins",3159,"","BCINTEINS","BCHBRUTTO",2012,"","",0.5
"soep-long","EMAIL","HBRUTTO","email",3891,"","BCEMAIL","BCHBRUTTO",2012,"","",0.5
"soep-long","SPIELHH","HBRUTTO","spielhh",4476,"","VSPIELHH","VHBRUTTO",2005,"","",0.5
"soep-long","HDATREP","HBRUTTO","hdatrep",3147,"","NHDATREP","NHBRUTTO",1997,"","",0.5
"soep-long","HD","HBRUTTO","hd",3148,"","MHD","MHBRUTTO",1996,"","",0.5
"soep-long","INTIBB","HBRUTTO","intibb",3149,"","MINTIBB","MHBRUTTO",1996,"","",0.5
"soep-long","HGRUPPE","HBRUTTO","hgruppe",3150,"","LHGRUPPE","LHBRUTTO",1995,"","",0.5
"soep-long","HERGSZ","HBRUTTO","hergsz",3151,"","KHERGSZ","KHBRUTTO",1994,"","",0.5
"soep-long","WAUS","HBRUTTO","waus",3975,"","IWAUS","IHBRUTTO",1992,"","",0.5
"soep-long","WOHN","HBRUTTO","wohn",,"","IWOHN","IHBRUTTO",1992,"","",0.5
"soep-long","WELLE","HBRUTTO","welle",3688,"","WELLE","HHBRUTTO",1991,"","",0.5
"soep-long","LISTL","HBRUTTO","listl",3153,"","HLISTL","HHBRUTTO",1991,"","",0.5
"soep-long","HADERQ","HBRUTTO","haderq",3154,"","HHADERQ","HHBRUTTO",1991,"","",0.5
"soep-long","BULAOLD","HBRUTTO","bulaold",4000,"","HBULAOLD","HHBRUTTO",1991,"","",0.5
"soep-long","HFORM2","HBRUTTO","hform2",3155,"","HHFORM2","HHBRUTTO",1991,"","",0.5
"soep-long","HERG2","HBRUTTO","herg2",3156,"","HHERG2","HHBRUTTO",1991,"","",0.5
"soep-long","LUECKE","HBRUTTO","luecke",2219,"","HLUECKE","HHBRUTTO",1991,"","",0.5
"soep-long","HFORMV","HBRUTTO","hformv",3157,"","HHFORMV","HHBRUTTO",1991,"","",0.5
"soep-long","HERGV","HBRUTTO","hergv",3158,"","HHERGV","HHBRUTTO",1991,"","",0.5
"soep-long","INTNRV","HBRUTTO","intnrv",3160,"","HINTNRV","HHBRUTTO",1991,"","",0.5
"soep-long","AUSKV","HBRUTTO","auskv",3161,"","HAUSKV","HHBRUTTO",1991,"","",0.5
"soep-long","WUM4","HBRUTTO","wum4",3163,"","GWUM4","GHBRUTTO",1990,"","",0.5
"soep-long","AUSK","HBRUTTO","ausk",3916,"","FAUSK","FHBRUTTO",1989,"","",0.5
"soep-long","VMB","HBRUTTO","vmb",3164,"","EVMB","EHBRUTTO",1988,"","",0.5
"soep-long","SONDER","HBRUTTO","sonder",5547,"","SONDER","XHBRUTTO",2007,"","",0.5
"soep-long","VORAB","HBRUTTO","vorab",5548,"","VORAB","XHBRUTTO",2007,"","",0.5
"soep-long","DATUMY","HBRUTTO","datumy",6456,"","BCDATUMY","BCHBRUTTO",2012,"","",0.5
"soep-long","REGTYP","HBRUTTO","regtyp",6521,"","BCREGTYP","BCHBRUTTO",2012,"","",0.5
"soep-long","INTID","HBRUTTO","intid",6463,"","INTID","BCHBRUTTO",2012,"","",0.5
"soep-long","INCKONTR","HBRUTTO","inckontr",6468,"","BCINCKONTR","BCHBRUTTO",2012,"","",0.5
"soep-long","VODERE","HBRUTTO","vodere",6469,"","BCVODERE","BCHBRUTTO",2012,"","",0.5
"soep-long","CID","PL","_cid",1,"","HHNR","PPFAD",0,"","",0.5
"soep-long","SYEAR","PL","_syear",,"true","__YEAR_DUMMY__","__YEAR_DUMMY__",0,"","",0.5
"soep-long","HID","PL","_hid",3786,"","HHNRAKT","BCP",2012,"This variable is available for all years.","#### 1984
* SOEPcore: HHNRAKT

#### 1985
* SOEPcore: HHNRAKT

#### 1986
* SOEPcore: HHNRAKT

#### 1987
* SOEPcore: HHNRAKT

#### 1988
* SOEPcore: HHNRAKT

#### 1989
* SOEPcore: HHNRAKT

#### 1990
* SOEPcore: HHNRAKT HHNRAKT 

#### 1991
* SOEPcore: HHNRAKT

#### 1992
* SOEPcore: HHNRAKT

#### 1993
* SOEPcore: HHNRAKT

#### 1994
* SOEPcore: HHNRAKT

#### 1995
* SOEPcore: HHNRAKT

#### 1996
* SOEPcore: HHNRAKT

#### 1997
* SOEPcore: HHNRAKT

#### 1998
* SOEPcore: HHNRAKT

#### 1999
* SOEPcore: HHNRAKT

#### 2000
* SOEPcore: HHNRAKT

#### 2001
* SOEPcore: HHNRAKT

#### 2002
* SOEPcore: HHNRAKT

#### 2003
* SOEPcore: HHNRAKT

#### 2004
* SOEPcore: HHNRAKT

#### 2005
* SOEPcore: HHNRAKT

#### 2006
* SOEPcore: HHNRAKT

#### 2007
* SOEPcore: HHNRAKT

#### 2008
* SOEPcore: HHNRAKT

#### 2009
* SOEPcore: HHNRAKT

#### 2010
* SOEPcore: HHNRAKT

#### 2011
* SOEPcore: BBHHNR

#### 2012
* SOEPcore: HHNRAKT
",1
"soep-long","PID","PL","_pid",2,"true","PERSNR","PPFAD",0,"This variable is available for all years.","#### 1984
* SOEPcore: PERSNR

#### 1985
* SOEPcore: PERSNR

#### 1986
* SOEPcore: PERSNR

#### 1987
* SOEPcore: PERSNR

#### 1988
* SOEPcore: PERSNR

#### 1989
* SOEPcore: PERSNR

#### 1990
* SOEPcore: PERSNR

#### 1991
* SOEPcore: PERSNR

#### 1992
* SOEPcore: PERSNR

#### 1993
* SOEPcore: PERSNR

#### 1994
* SOEPcore: PERSNR

#### 1995
* SOEPcore: PERSNR

#### 1996
* SOEPcore: PERSNR

#### 1997
* SOEPcore: PERSNR

#### 1998
* SOEPcore: PERSNR

#### 1999
* SOEPcore: PERSNR

#### 2000
* SOEPcore: PERSNR

#### 2001
* SOEPcore: PERSNR

#### 2002
* SOEPcore: PERSNR

#### 2003
* SOEPcore: PERSNR

#### 2004
* SOEPcore: PERSNR

#### 2005
* SOEPcore: PERSNR

#### 2006
* SOEPcore: PERSNR

#### 2007
* SOEPcore: PERSNR

#### 2008
* SOEPcore: PERSNR

#### 2009
* SOEPcore: PERSNR

#### 2010
* SOEPcore: PERSNR

#### 2011
* SOEPcore: PERSNR

#### 2012
* SOEPcore: PERSNR
",1
